time,value,correction,quality
1995-04-13T11:00:00Z,364.75,0,3
1995-04-14T11:00:00Z,364.64,0,3
1995-04-15T11:00:00Z,364.41,0,3
1995-04-16T11:00:00Z,364.32,0,3
1995-04-17T11:00:00Z,364.15,0,3
1995-04-18T11:00:00Z,364.06,0,3
1995-04-19T11:00:00Z,364.19,0,3
1995-04-20T11:00:00Z,364.44,0,3
1995-04-21T11:00:00Z,364.46,0,3
1995-04-22T11:00:00Z,364.51,0,3
1995-04-23T11:00:00Z,364.78,0,3
1995-04-24T11:00:00Z,364.85,0,3
1995-04-25T11:00:00Z,364.8,0,3
1995-04-26T11:00:00Z,364.72,0,3
1995-04-27T11:00:00Z,364.6,0,3
1995-04-28T11:00:00Z,364.46,0,3
1995-04-29T11:00:00Z,364.3,0,3
1995-04-30T11:00:00Z,364.29,0,3
1995-05-01T11:00:00Z,364.11,0,3
1995-05-02T11:00:00Z,364.02,0,3
1995-05-03T11:00:00Z,363.86,0,3
1995-05-04T11:00:00Z,363.65,0,3
1995-05-05T11:00:00Z,363.56,0,3
1995-05-06T11:00:00Z,363.52,0,3
1995-05-07T11:00:00Z,363.7,0,3
1995-05-08T11:00:00Z,364.14,0,3
1995-05-09T11:00:00Z,364.47,0,3
1995-05-10T11:00:00Z,364.49,0,3
1995-05-11T11:00:00Z,364.23,0,3
1995-05-12T11:00:00Z,364.0,0,3
1995-05-13T11:00:00Z,363.78,0,3
1995-05-14T11:00:00Z,363.7,0,3
1995-05-15T11:00:00Z,363.55,0,3
1995-05-16T11:00:00Z,363.51,0,3
1995-05-17T11:00:00Z,363.58,0,3
1995-05-18T11:00:00Z,363.65,0,3
1995-05-19T11:00:00Z,363.62,0,3
1995-05-20T11:00:00Z,363.7,0,3
1995-05-21T11:00:00Z,363.96,0,3
1995-05-22T11:00:00Z,363.95,0,3
1995-05-23T11:00:00Z,364.11,0,3
1995-05-24T11:00:00Z,364.07,0,3
1995-05-25T11:00:00Z,364.13,0,3
1995-05-26T11:00:00Z,364.09,0,3
1995-05-27T11:00:00Z,364.29,0,3
1995-05-28T11:00:00Z,364.81,0,3
1995-05-29T11:00:00Z,365.15,0,3
1995-05-30T11:00:00Z,366.04,0,3
1995-05-31T11:00:00Z,367.16,0,3
1995-06-01T11:00:00Z,368.29,0,3
1995-06-02T11:00:00Z,369.02,0,3
1995-06-03T11:00:00Z,369.47,0,3
1995-06-04T11:00:00Z,369.62,0,3
1995-06-05T11:00:00Z,369.31,0,3
1995-06-06T11:00:00Z,368.93,0,3
1995-06-07T11:00:00Z,369.12,0,3
1995-06-08T11:00:00Z,369.7,0,3
1995-06-09T11:00:00Z,370.34,0,3
1995-06-10T11:00:00Z,370.75,0,3
1995-06-11T11:00:00Z,370.91,0,3
1995-06-12T11:00:00Z,370.58,0,3
1995-06-13T11:00:00Z,370.43,0,3
1995-06-14T11:00:00Z,370.42,0,3
1995-06-15T11:00:00Z,370.63,0,3
1995-06-16T11:00:00Z,371.0,0,3
1995-06-17T11:00:00Z,371.34,0,3
1995-06-18T11:00:00Z,371.57,0,3
1995-06-19T11:00:00Z,371.82,0,3
1995-06-20T11:00:00Z,372.03,0,3
1995-06-21T11:00:00Z,372.24,0,3
1995-06-22T11:00:00Z,372.46,0,3
1995-06-23T11:00:00Z,372.66,0,3
1995-06-24T11:00:00Z,373.05,0,3
1995-06-25T11:00:00Z,373.6,0,3
1995-06-26T11:00:00Z,374.46,0,3
1995-06-27T11:00:00Z,374.95,0,3
1995-06-28T11:00:00Z,375.33,0,3
1995-06-29T11:00:00Z,375.7,0,3
1995-06-30T11:00:00Z,375.99,0,3
1995-07-01T11:00:00Z,376.12,0,3
1995-07-02T11:00:00Z,376.16,0,3
1995-07-03T11:00:00Z,376.42,0,3
1995-07-04T11:00:00Z,376.59,0,3
1995-07-05T11:00:00Z,376.65,0,3
1995-07-06T11:00:00Z,376.77,0,3
1995-07-07T11:00:00Z,377.1,0,3
1995-07-08T11:00:00Z,377.58,0,3
1995-07-09T11:00:00Z,377.87,0,3
1995-07-10T11:00:00Z,377.89,0,3
1995-07-11T11:00:00Z,378.05,0,3
1995-07-12T11:00:00Z,378.1,0,3
1995-07-13T11:00:00Z,378.08,0,3
1995-07-14T11:00:00Z,378.08,0,3
1995-07-15T11:00:00Z,378.08,0,3
1995-07-16T11:00:00Z,378.14,0,3
1995-07-17T11:00:00Z,378.26,0,3
1995-07-18T11:00:00Z,378.3,0,3
1995-07-19T11:00:00Z,378.29,0,3
1995-07-20T11:00:00Z,378.13,0,3
1995-07-21T11:00:00Z,378.37,0,3
1995-07-22T11:00:00Z,378.74,0,3
1995-07-23T11:00:00Z,378.6,0,3
1995-07-24T11:00:00Z,378.15,0,3
1995-07-25T11:00:00Z,378.08,0,3
1995-07-26T11:00:00Z,378.11,0,3
