index,Latitude,Longitude,Time,Rain,Sea_Level_Pressure,Temperature,Time_Index
122254,27.5,70.0,1999-01-15,0.0,102085.0,297.2,14
44545,30.0,72.5,1999-01-15,0.0,102012.0,297.02002,14
355771,30.0,78.75,1999-01-15,0.0,102012.0,284.9,14
615101,23.80920029,78.75,1999-01-15,0.0,102012.0,292.9,14
563235,23.80920029,75.0,1999-01-15,0.0,102012.0,295.4,14
303575,25.0,77.5,1999-01-15,0.0,101787.0,293.57,14
459503,25.0,78.75,1999-01-15,0.0,101787.0,294.3,14
199963,27.5,77.5,1999-01-15,0.0,101880.0,294.57,14
96351,30.0,77.5,1999-01-15,0.0,102007.0,292.49,14
18642,30.0,70.0,1999-01-15,0.0,102095.0,295.84998,14
381704,27.5,69.375,1999-01-15,0.0,102095.0,296.59998,14
511369,23.80920029,70.0,1999-01-15,0.0,102095.0,298.32,14
148157,27.5,72.5,1999-01-15,0.0,101962.0,295.7,14
277672,25.0,75.0,1999-01-15,0.0,101950.0,294.52002,14
485436,23.80920029,69.375,1999-01-15,0.0,101950.0,299.3,14
589168,23.80920029,77.5,1999-01-15,0.0,101950.0,293.8,14
407637,27.5,78.75,1999-01-15,0.1300079226493835,101950.0,295.09998,14
174060,27.5,75.0,1999-01-15,0.0,101817.0,294.37,14
433570,25.0,69.375,1999-01-15,0.0,101817.0,299.49,14
148158,27.5,72.5,1999-01-16,0.0,101920.0,295.64,15
44546,30.0,72.5,1999-01-16,0.0,101992.0,296.99,15
563236,23.80920029,75.0,1999-01-16,0.0,101992.0,295.32,15
407638,27.5,78.75,1999-01-16,0.0,101992.0,295.09998,15
381705,27.5,69.375,1999-01-16,0.0,101992.0,296.52002,15
511370,23.80920029,70.0,1999-01-16,0.0,101992.0,298.3,15
96352,30.0,77.5,1999-01-16,0.0,102057.0,292.49,15
122255,27.5,70.0,1999-01-16,0.0,102017.0,297.16998,15
18643,30.0,70.0,1999-01-16,0.0,102000.0,295.8,15
